company,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Mastercard Incorporated (MA),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1438584954227666,1.1939910108735885,-0.333875788556664,0.7972457921623595,-0.12223153484427696,0.6671963018364244,0.3209300256573837,0.7067565760759571,0.03725457368532914,0.13811061336006247,0.06907134187515873,0.476855470495956,0.25312930943313927,0.5915798964696122,0.20186342943790536,0.01160568328765343,-0.02658529188831815,0.23403886669317295,0.19644279108756144
"Home Depot, Inc. (HD)",NA,0.6707449102934324,4.392365623682849,1.1421323388697924,-0.3270135445210032,-0.29577611383531865,0.4300015063035736,0.5752262078120203,0.6938334374329462,0.7434531761830281,0.5872872264185529,1.6225076951323718,0.5061455177135255,-0.2177192202423721,0.16850444069673953,0.04264221344174301,0.05431162268862377,0.7690114169890774,1.084614470252975,0.6897217227113908,-0.33316073094042786,0.12189772701872048,-0.5262420550293594,0.4903857512779284,0.21464004249109192,-0.04346386918604605,0.01006431932361384,-0.3114260152532259,-0.11387145071307823,0.3056155993255516,0.2495388928648259,0.2349619429471277,0.5034109584256508,0.35896381462653615,0.3023733312561061,0.2852392821057428,0.03541473030086317,0.44612819345429133,-0.07295522448115421,0.3055984959328828,0.2450162956502253,0.5950606081922625,-0.2197620631981283,0.1276939993796109,0.17310614212484565
Pfizer Inc. (PFE),0.469699302606029,0.03278060123858606,0.33446426629947235,0.06911536576450117,0.22780623139144685,0.2370580471448991,0.2398795927793631,-0.21367564302272024,0.2928712799401152,0.24166413198280567,0.20320496303853464,1.1277005507281284,-0.11960411143142602,-0.0228131426068604,0.15312117150608762,0.6669580350008117,0.33987761008425865,0.8191895663146289,0.6891710330407965,-0.21498133742699663,0.430554851831078,-0.12474584875106798,-0.2215707850669132,0.17748210536781373,-0.2230173944058178,-0.106291915080707,0.1525895884840942,-0.08135527501115913,-0.16957902089577326,0.0820014135139735,0.00315033441007273,0.2878418378445571,0.2042519614263132,0.2620617476318585,0.0527645483678747,0.07087962945507886,0.04424850889680054,0.1590180526934737,0.24818908614047652,-0.0690790738627266,0.03069486618879424,0.6669505698730402,-0.10407981630976482,-0.4126410306911864,0.03255755804608129
Verizon Communications (VZ),NA,NA,NA,-0.07117374170085955,0.34323756050232834,0.40344442885167386,0.3369804344775187,0.0156048036665275,0.15885040984683796,0.6249761747711913,0.00904975405870089,-0.05310986382713822,0.12465066490661636,0.19871999171483745,-0.11666918409915196,0.4141713684994943,0.0129763536354539,0.4516073558881266,0.22528122697504016,0.17060551825485604,-0.1619605498636718,-0.02523305408036547,-0.1517804532219147,-0.0567978443825522,0.20300244436603276,-0.22197018001554436,0.34617337068166054,0.22206940288530563,-0.18067072369861217,0.03775160902138252,0.2255873711774956,0.1819197780666839,0.1317619720330241,0.1860288500737779,-0.0054752656343211,0.03619792400475163,0.2069953600597172,0.03975475466033518,0.11257715878985276,0.13836435378985268,-0.00130912103393709,-0.0754887892773658,-0.20021647526036923,0.02713246956877246,0.17075295337362428
Chevron Corporation (CVX),0.8341007191803542,-0.138190594413932,-0.2536445426425499,0.08203164884290826,-0.04896112180224576,0.3032729249792143,0.2663333706563462,-0.08654781621180196,0.220032981401612,0.5578354624781514,0.11806875075149505,-0.00659045305438688,0.05694757492799085,0.3062861245259565,0.06797534188276266,0.22160319037070608,0.2851496923257104,0.2214773425412122,0.11018787173664092,0.07354327714581088,0.00543895522199711,0.09280097102689132,-0.23091142831634248,0.35366766644442893,0.2554103015660323,0.11542606714206682,0.3370248076775797,0.30549944518102645,-0.1832924660254529,0.08061000671106955,0.22946141750771076,0.20279998249423192,0.05061468859616802,0.19308606351252225,-0.06988841754738928,-0.16170661224809835,0.36661413582248725,0.10589605832569204,-0.09747410539468372,0.15273650146537543,-0.25952119486817826,0.4624134346193871,0.5846232876935111,-0.13632719914457503,0.04397019227102738
"PepsiCo, Inc. (PEP)",0.17182080913469822,0.39120332861232665,0.02464159209995609,0.11896652801189922,0.16804836417739377,0.748653112393177,0.09573581745237214,0.3086697463446888,0.20967424381111588,0.6494766576488038,0.23858538462571463,0.32263991425793814,0.24233852240452736,5.579774328439147e-4,-0.09556959292732436,0.5674565342318985,0.06209641094345297,0.36500399903341574,0.14307567770333063,-0.12470876661609263,0.4262672053643677,-0.00543393520749158,-0.12136228802871918,0.12043081357215212,0.1381070180348929,0.15239117553195625,0.07864015874634855,0.2388086944046668,-0.25960655431047497,0.14627466111159282,0.10691775951875648,0.04761812599396964,0.06395308099064789,0.24648087049931955,0.17265833396605634,0.08748507863135857,0.07795980904676814,0.1781806479590089,-0.04812857056403508,0.27375897217188894,0.11671721473658604,0.20556485601808097,0.06783427017897137,-0.03290350045638179,0.03505882225311896
The Walt Disney Company (DIS),0.17816027136469392,0.01951207681318889,0.23624059930428176,-0.15001844755244564,0.1590083056386713,0.9113710665169792,0.5405865507471546,0.3789103220068284,0.116673078724981,0.7122586046078871,-0.08924362879286618,0.1348784820883795,0.5108170513814327,-0.00295725606281216,0.0867083345515145,0.290243155413501,0.19109893843407663,0.4287639649859447,-0.0852271726523185,-0.01446666282699438,-0.0038669278708886,-0.27637608488829624,-0.20301581504946187,0.44400935499408023,0.2022458955510813,-0.12860458249267823,0.4426517949881292,-0.0348635804457289,-0.2865516825524205,0.4377217420479349,0.17582247472072288,0.01652167971380458,0.348122180212848,0.5533885183724185,0.2485230481049958,0.12929862910745493,0.00671985306066091,0.04760193943615198,0.03607811717075493,0.33513494251532183,0.25271381349838706,-0.1451042446796672,-0.43908587180055425,0.04263659236510753,0.05735320870043758
Intel Corporation (INTC),0.28800079998443384,-0.4409939218474065,0.7222220321755155,1.1677400824630162,-0.33333315007383224,0.04464337665067508,-0.2820518364479948,0.8928585543916336,-0.10377303323560484,0.452629836877815,0.11594230058366528,0.2727274342782826,0.778158522944566,0.4305997879566874,0.03401284821020822,0.7816066157087624,1.3129932530256032,0.07449851831913201,0.6903668884484413,0.39091339263525904,-0.26860763880560634,0.04884664468567101,-0.503157792976826,1.0661196721629045,-0.2656455534191928,0.08135371872412778,-0.1719860163872745,0.34231941492781126,-0.4351228691921312,0.4390291873425929,0.06269560563261911,0.19396453590058793,-0.12014653890604544,0.3092003826648082,0.44224037743055833,-0.02213976891991254,0.08756395612155576,0.30870133720801785,0.04226522034624436,0.3071196051426359,-0.14688730791372095,0.06052529673273832,-0.46642688896518625,0.9456240269464048,-0.5426119349190728
"Cisco Systems, Inc. (CSCO)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0168537425928137,1.9526410362757864,1.373587794870431,0.6438793610731255,0.08704047959301464,1.124555302189442,0.7051926777424855,0.3143416122259812,1.4971971851339028,1.3084180006731012,-0.28588093645028045,-0.5265359819994724,-0.27664278391966934,0.8496180770151804,-0.2026410933423115,-0.11387179412636506,0.5963784056379693,-0.0095135181944741,-0.3978571211355196,0.46871142374128794,-0.1549705800917467,-0.09617142487763164,0.11605448244909322,0.1672663109981578,0.2797584654975138,0.00619500558851982,0.15133688224946762,0.31268292556580657,0.1657160692845523,0.138126107022986,-0.03486471574169503,0.45761345915593665,-0.22462753468290897,0.0929594145170245,0.13923910786687357
"Merck & Co., Inc. (MRK)",0.23844115566296997,0.03070879201714471,0.03608226906852807,0.10191330152004884,0.07677431896389475,0.5009682423414521,0.8458470970701075,0.29976647449809923,0.1194591142395991,0.3746780362112745,0.18940042512843824,0.8889341243262641,-0.20313545764143728,-0.18334000785570528,0.1485142361480443,0.766058114630751,0.23936943369433705,0.35648568228571165,0.41301168053145454,-0.07485029254481523,0.4176188295907506,-0.3596180470283217,-0.01209089079166958,-0.1119723399452036,-0.27767406451700183,0.04041730874282612,0.4267723567425652,0.3735390185990248,-0.453324463314407,0.26700576774603757,0.02911908295158838,0.0956012019266772,0.13136515633993406,0.26826689281367844,0.16931926217712823,-0.03888025236973214,0.1505414437224406,-0.01486504964297907,0.3995387453312944,0.2227145476594856,-0.07204778235743192,0.0175482948057446,0.49421398533921135,0.01009871788498939,-0.02797794760058913
